Date,OD,Trt,Conc,of.milligram,Rep,Solvent,Day,Age,Culture,Medium.Batch,OD.Hrs,Strain,Comments,StrCon,predicted.osm
9/30/2017,1.81,Control,0,1,1,LB,1,1,1,1,24,Control,NA,Control,420
9/30/2017,1.79,Control,0,1,2,LB,1,1,1,1,24,Control,NA,Control,420
9/30/2017,1.79,Control,0,1,3,LB,1,1,1,1,24,Control,NA,Control,420
9/30/2017,1.7,Control,0,1,4,LB,1,1,1,1,24,Control,NA,Control,420
9/30/2017,1.83,Control,0,1,5,LB,1,1,1,1,24,Control,NA,Control,420
9/30/2017,1.07,Manuka,80,1,1,LB,1,1,1,1,24,Manuka80,NA,Manuka80,783.6896
9/30/2017,1.08,Manuka,80,1,2,LB,1,1,1,1,24,Manuka80,NA,Manuka80,783.6896
9/30/2017,1.18,Manuka,80,1,3,LB,1,1,1,1,24,Manuka80,NA,Manuka80,783.6896
9/30/2017,1.18,Manuka,80,1,4,LB,1,1,1,1,24,Manuka80,NA,Manuka80,783.6896
9/30/2017,1.17,Manuka,80,1,5,LB,1,1,1,1,24,Manuka80,NA,Manuka80,783.6896
9/30/2017,0.86,Local,260,1,1,LB,1,1,1,1,24,Local260,NA,Local260,1578.4364
9/30/2017,0.79,Local,260,1,2,LB,1,1,1,1,24,Local260,NA,Local260,1578.4364
9/30/2017,0.86,Local,260,1,3,LB,1,1,1,1,24,Local260,NA,Local260,1578.4364
9/30/2017,0.88,Local,260,1,4,LB,1,1,1,1,24,Local260,NA,Local260,1578.4364
9/30/2017,0.85,Local,260,1,5,LB,1,1,1,1,24,Local260,NA,Local260,1578.4364
10/1/2017,1.28,Glu,6,1,1,LB,2,1,1,1,24,Glu6,NA,Glu6,802
10/1/2017,0.93,Glu,6,1,2,LB,2,1,1,1,24,Glu6,NA,Glu6,802
10/1/2017,1.02,Glu,6,1,3,LB,2,1,1,1,24,Glu6,NA,Glu6,802
10/1/2017,0.79,Glu,16,1,1,LB,2,1,1,1,24,Glu16,NA,Glu16,1494.5997
10/1/2017,0.88,Glu,16,1,2,LB,2,1,1,1,24,Glu16,NA,Glu16,1494.5997
10/1/2017,0.79,Glu,16,1,3,LB,2,1,1,1,24,Glu16,NA,Glu16,1494.5997
10/2/2017,0.92,Manuka,80,1,1,LB,3,1,1,1,24,Manuka80,NA,Manuka80,783.6896
10/2/2017,1.01,Manuka,80,1,2,LB,3,1,1,1,24,Manuka80,NA,Manuka80,783.6896
10/2/2017,0.89,Manuka,80,1,3,LB,3,1,1,1,24,Manuka80,NA,Manuka80,783.6896
10/2/2017,0.83,Manuka,80,1,4,LB,3,1,1,1,24,Manuka80,NA,Manuka80,783.6896
10/2/2017,0.96,Manuka,80,1,5,LB,3,1,1,1,24,Manuka80,NA,Manuka80,783.6896
10/3/2017,0.81,Local,260,1,1,LB,4,1,1,1,24,Local260,NA,Local260,1578.4364
10/3/2017,0.81,Local,260,1,2,LB,4,1,1,1,24,Local260,NA,Local260,1578.4364
10/3/2017,0.82,Local,260,1,3,LB,4,1,1,1,24,Local260,NA,Local260,1578.4364
10/3/2017,0.85,Local,260,1,4,LB,4,1,1,1,24,Local260,NA,Local260,1578.4364
10/3/2017,0.79,Local,260,1,5,LB,4,1,1,1,24,Local260,NA,Local260,1578.4364
10/4/2017,1.37,Manuka,70,1,1,LB,5,1,1,1,24,M.48,NA,Manuka70,739.537
10/4/2017,1.29,Manuka,70,1,2,LB,5,1,1,1,24,M.48,NA,Manuka70,739.537
10/4/2017,1.15,Manuka,70,1,3,LB,5,1,1,1,24,M.48,NA,Manuka70,739.537
10/4/2017,1.29,Manuka,70,1,4,LB,5,1,1,1,24,M.48,NA,Manuka70,739.537
10/4/2017,1.34,Manuka,70,1,5,LB,5,1,1,1,24,M.48,NA,Manuka70,739.537
10/5/2017,1.11,Local,210,1,1,LB,6,1,1,1,24,Local210,NA,Local210,1357.6734
10/5/2017,1.04,Local,210,1,1,LB,6,1,1,1,24,Local210,NA,Local210,1357.6734
10/5/2017,0.93,Local,210,1,1,LB,6,1,1,1,24,Local210,NA,Local210,1357.6734
10/5/2017,0.98,Local,210,1,1,LB,6,1,1,1,24,Local210,NA,Local210,1357.6734
10/5/2017,0.99,Local,210,1,1,LB,6,1,1,1,24,Local210,NA,Local210,1357.6734
10/6/2017,1.47,Manuka,50,1,1,LB,7,1,1,1,24,Manuka50,NA,Manuka50,651.2318
10/6/2017,1.16,Manuka,50,1,2,LB,7,1,1,1,24,Manuka50,NA,Manuka50,651.2318
10/6/2017,1.21,Manuka,60,1,1,LB,7,1,1,1,24,Manuka60,NA,Manuka60,695.3844
10/6/2017,1.27,Manuka,60,1,2,LB,7,1,1,1,24,Manuka60,NA,Manuka60,695.3844
10/6/2017,1.4,Manuka,60,1,3,LB,7,1,1,1,24,Manuka60,NA,Manuka60,695.3844
10/6/2017,1.36,Manuka,60,1,4,LB,7,1,1,1,24,Manuka60,NA,Manuka60,695.3844
10/6/2017,1.27,Manuka,60,1,5,LB,7,1,1,1,24,Manuka60,NA,Manuka60,695.3844
10/7/2017,1.16,Local,160,1,1,LB,8,1,1,1,24,Local160,NA,Local160,1136.9104
10/7/2017,1.08,Local,160,1,2,LB,8,1,1,1,24,Local160,NA,Local160,1136.9104
10/7/2017,0.98,Local,210,1,1,LB,8,1,1,1,24,Local210,NA,Local210,1357.6734
10/7/2017,0.99,Local,210,1,2,LB,8,1,1,1,24,Local210,NA,Local210,1357.6734
10/7/2017,0.85,Local,210,1,3,LB,8,1,1,1,24,Local210,NA,Local210,1357.6734
10/8/2017,1.1,Local,140,1,1,LB,9,1,1,1,24,Local140,NA,Local140,1048.6052
10/8/2017,1.23,Local,140,1,2,LB,9,1,1,1,24,Local140,NA,Local140,1048.6052
10/8/2017,1,Local,180,1,1,LB,9,1,1,1,24,Local180,NA,Local180,1225.2156
10/8/2017,1.17,Local,180,1,2,LB,9,1,1,1,24,Local180,NA,Local180,1225.2156
9/30/2017,0,Manuka,90,1,1,LB,1,1,1,1,24,Manuka90,NA,Manuka90,827.84218
9/30/2017,0,Manuka,90,1,2,LB,1,1,1,1,24,Manuka90,NA,Manuka90,827.84218
9/30/2017,0,Manuka,100,1,1,LB,1,1,1,1,24,Manuka100,NA,Manuka100,871.99478
9/30/2017,0,Manuka,100,1,2,LB,1,1,1,1,24,Manuka100,NA,Manuka100,871.99478
9/30/2017,0,Manuka,110,1,1,LB,1,1,1,1,24,Manuka110,NA,Manuka110,916.14738
9/30/2017,0,Manuka,110,1,2,LB,1,1,1,1,24,Manuka110,NA,Manuka110,916.14738
